resp,dt,weight
3,21/01/2015,1.643649391
4,21/01/2015,14.29792928
5,21/01/2015,7.3735633
6,21/01/2015,1.672236022
7,21/01/2015,3.096047163
8,21/01/2015,0.558068799
9,21/01/2015,2.072763119
10,21/01/2015,1.083892258
11,21/01/2015,2.938346589
12,21/01/2015,1.046052905
13,21/01/2015,5.234507656
14,21/01/2015,15.76113579
15,21/01/2015,4.612469298
16,21/01/2015,0.704677654
17,21/01/2015,2.381197308
18,21/01/2015,3.717897139
19,21/01/2015,0.555412696
20,21/01/2015,0.637416099
21,21/01/2015,8.764841006
22,21/01/2015,1.439930962
24,21/01/2015,7.456736677
25,21/01/2015,0.558068799
26,21/01/2015,0.637416099
27,21/01/2015,4.500725688
28,21/01/2015,4.949387901
29,21/01/2015,1.515152677
23,21/01/2015,15.29084039
1,22/01/2015,5.486545308
2,22/01/2015,2.125991128
3,22/01/2015,0.995945895
4,22/01/2015,4.998799884
5,22/01/2015,4.236023559
6,22/01/2015,0.74811828
7,22/01/2015,2.79977679
8,22/01/2015,0.714203511
9,22/01/2015,2.303239352
10,22/01/2015,0.597401648
11,22/01/2015,3.446993467
12,22/01/2015,0.720491987
13,22/01/2015,0.750218321
14,22/01/2015,11.31051004
15,22/01/2015,4.183867563
16,22/01/2015,0.747538838
17,22/01/2015,3.290349392
18,22/01/2015,0.605346768
19,22/01/2015,0.723106756
20,22/01/2015,0.738334773
21,22/01/2015,0.908704598
22,22/01/2015,1.947738625
24,22/01/2015,17.34379519
25,22/01/2015,0.714203511
26,22/01/2015,0.738334773
27,22/01/2015,0.994790666
28,22/01/2015,2.834678743
29,22/01/2015,3.92157021
23,22/01/2015,15.29084039
1,23/01/2015,1.967998122
2,23/01/2015,2.934882765
3,23/01/2015,1.234048319
4,23/01/2015,1.677837247
5,23/01/2015,3.570720417
6,23/01/2015,1.800308687
7,23/01/2015,6.543152732
8,23/01/2015,0.693745975
9,23/01/2015,2.110469748
10,23/01/2015,0.722075711
11,23/01/2015,1.725993201
12,23/01/2015,2.074462406
13,23/01/2015,5.822485763
14,23/01/2015,9.104864225
15,23/01/2015,2.36560152
16,23/01/2015,0.670631867
17,23/01/2015,1.382109814
18,23/01/2015,4.819418918
19,23/01/2015,1.047164071
20,23/01/2015,0.698563956
21,23/01/2015,0.586313878
